Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
budibase,Navigational,1900,"0.55,0.66,0.83,0.45,0.66,0.55,1.00,0.83,0.66,0.45,0.66,0.66",25,5.43,0.35,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches",65700
how to connect supabase to budibase,Informational,210,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",14,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",46
budibase github,Navigational,90,"0.05,0.05,0.05,0.05,0.05,0.05,0.28,0.43,0.53,0.05,1.00,0.05",34,0.00,0.33,"Sitelinks, Video, Related searches",119
budibase api client id client secret subaccount connection,"Informational, Navigational",70,"1.00,0.00",4,0.00,0.00,"AI Overview, Video, Related searches",64
budib,,50,"0.11,0.11,1.00,0.11,0.11,0.23,0.11,0.41,0.82,0.23,0.11,0.11",,0.00,0.33,,
budibase alternatives,Informational,50,"0.11,0.11,0.64,0.11,0.11,0.29,0.29,1.00,0.23,0.17,0.17,0.11",2,6.41,0.41,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches, Ads bottom",13800
appsmith budibase,,40,"0.23,0.11,0.11,0.11,1.00,0.41,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,0.46,,
pedro budib,,30,"0.18,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,0.00,0.33,,
appsmith vs budibase,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,6.47,0.33,,
appsmith vs budibase vs tooljet,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00",,0.00,0.33,,
baserow vs budibase,,20,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
budibar,,20,"1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
budibas,,20,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00",,7.48,0.26,,
budibase airtable,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00",,0.00,0.00,,
budibase alternatives open source,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.80,,
budibase apps,,20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00",,6.32,0.54,,
