Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
dify,Navigational,18100,"0.36,0.29,0.29,0.24,0.20,0.20,0.16,0.20,0.20,1.00,0.16,0.24",49,4.46,0.07,"Sitelinks, Image, Video, Video carousel, Related searches, Ads bottom",1810000
difi lama,Navigational,1900,"1.00,1.00,0.85,1.00,0.85,1.00,1.00,1.00,1.00,0.85,0.00,0.00",29,3.38,0.00,"Sitelinks, Video, Related searches",71200
dify github,Navigational,1300,"0.79,1.00,0.41,0.79,0.54,0.54,0.41,0.66,0.79,0.54,0.66,0.41",69,9.83,0.01,"Sitelinks, People also ask, Related searches",2060000
dify.ai,Navigational,1300,"0.05,0.27,0.66,1.00,0.66,1.00,0.52,0.00,0.01,0.10,0.10,0.36",72,4.96,0.21,"Sitelinks, Video, Video carousel, People also ask",1920000
difi,Informational,1000,"1.00,0.77,0.77,1.00,0.77,1.00,1.00,0.77,0.77,0.68,0.77,1.00",29,3.66,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",2470000
dify ai,Navigational,1000,"0.24,0.34,0.44,0.24,0.24,0.44,0.30,0.44,0.55,0.34,0.34,1.00",59,5.09,0.22,"Sitelinks, Video, Video carousel, Related searches",2290000
dify 本地部署,"Informational, Transactional",1000,"0.04,0.07,0.54,0.24,1.00,0.01,0.01,0.01,0.01,0.01,0.02,0.01",20,0.00,0.00,"Sitelinks, Video, Related searches",110
dify 漏洞,Informational,1000,"0.10,0.10,0.10,0.10,0.52,0.10,0.10,0.80,1.00,0.20,0.10,0.00",9,0.00,0.33,Related searches,71
dify mcp,"Navigational, Transactional",720,"0.04,1.00,0.08,0.03,0.03,0.08,0.02,0.02,0.02,0.01,0.01,0.01",24,0.00,0.03,"Video, Related searches",1060000
dify 工作流,Navigational,590,"0.04,0.10,0.52,1.00,0.05,0.03,0.04,0.03,0.04,0.02,0.04,0.03",30,0.00,0.02,"Sitelinks, Video, Video carousel, Related searches",1270000
difiaba,"Informational, Navigational",480,"0.65,0.65,0.81,0.81,0.81,0.81,0.81,0.65,0.65,0.65,1.00,0.81",25,0.99,0.95,"Sitelinks, AI Overview, Video, Video carousel, Knowledge panel, Related searches",319000
dify how to handle request output from api,Informational,480,"1.00,0.00,0.00,0.00,0.00,0.00,0.00",6,0.00,0.00,"Sitelinks, Video, Video carousel, People also ask, Related searches",40300
dify internal server error,Informational,480,"1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",16,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",
dify 工作 流 案例 合集,Informational,480,"0.00,1.00,0.20,0.20,0.46,0.20,0.20,0.20,0.20,0.20,0.20,0.01",7,0.00,0.33,"Video, Video carousel, Related searches",18300
n8n dify coze,Commercial,480,"0.00,0.00,1.00,0.46,0.37,0.84,0.37,0.01,0.01,0.01,0.01,0.01",8,0.00,0.04,"Sitelinks, Image, Video, Related searches",28000
dify dsl,"Informational, Transactional",390,"0.03,1.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",22,0.00,0.33,"Sitelinks, Video, People also ask, Related searches",23800
dify-sandbox,Informational,390,"1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",24,0.00,0.00,"Video, Related searches",26700
dify 代码执行,"Informational, Transactional",320,"1.00,0.00,0.00,0.00,0.00,0.00,0.00",16,0.00,0.00,"Sitelinks, Video, Related searches",95
github dify,"Navigational, Transactional",320,"0.54,0.66,0.44,0.54,0.35,0.81,0.54,0.66,1.00,0.28,0.35,0.28",65,0.00,0.00,"Sitelinks, Video, Related searches",109
difiaba charcolite,Informational,260,"1.00,1.00,1.00,0.73,0.73,0.73,0.73,0.64,0.27,0.64,0.73,0.64",6,0.61,1.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches, Ads bottom",35100
dify 多租户,Informational,260,"1.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00",9,0.00,0.33,"Sitelinks, Related searches",
dify 约会调研助手 dsl,Informational,260,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",25,0.00,0.00,"Image pack, Video, People also ask, Related searches",10
dify api,Informational,210,"0.43,0.81,0.66,0.43,1.00,0.66,0.04,0.22,0.22,0.14,0.14,0.10",24,3.93,0.05,"Sitelinks, AI Overview, Video, Video carousel, Related searches",149
dify battery,Navigational,210,"0.35,0.43,0.43,0.28,1.00,0.66,0.66,0.66,0.53,0.43,0.53,0.53",0,2.83,0.37,"Sitelinks, Image pack, Video, Knowledge panel, Related searches",27700
dify difference between agent and workflow,Informational,210,"1.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00",16,0.00,0.00,"AI Overview, Video, Discussions and forums, Related searches",
dify doc,"Navigational, Transactional",210,"0.03,1.00,0.01,0.01,0.20,0.05,0.01,0.01,0.01,0.01,0.01,0.01",55,0.00,0.01,"Sitelinks, Video, Video carousel, Related searches",
dify ollama,Informational,210,"0.20,1.00,0.01,0.20,0.01,0.01,0.01,0.01,0.30,0.01,0.01,0.01",16,0.00,0.01,"Sitelinks, Video, Video carousel, Related searches",107
dify 企业微信,Informational,210,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",9,0.00,0.00,Related searches,820000
群晖 dify,Informational,210,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",8,0.00,0.33,"Video, Related searches",
dify docker,Informational,170,"0.66,1.00,0.35,0.22,0.22,0.18,1.00,0.14,0.14,0.10,0.22,0.10",29,0.00,0.01,"Sitelinks, AI Overview, Video, Video carousel, Related searches",118
