Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
espocrm,Navigational,1300,"1.00,0.81,1.00,1.00,0.62,0.62,0.62,0.81,0.62,0.62,0.62,0.55",57,8.87,0.15,"Sitelinks, Image, Video, Video carousel, Related searches",70500
espocrm news,"Navigational, Transactional",140,"0.06,1.00,0.28,0.34,0.06",10,0.00,0.00,"Sitelinks, Video, Related searches",
espocrm.,Navigational,140,"0.81,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",48,10.78,0.17,"Sitelinks, Image, Video, Video carousel, Related searches",70100
espocrm sales pipelines,,110,1.00,,0.00,0.00,,
does espocrm have lead scoring,,90,1.00,,0.00,0.00,,
espocrm lead scoring,,90,1.00,,0.00,0.00,,
espocrm usage in india,,90,1.00,,0.00,0.00,,
espocrm lead scoring feature,,70,1.00,,0.00,0.00,,
is espocrm lightweight,,50,1.00,,0.00,0.00,,
espocrm automation features,,40,1.00,,0.00,0.00,,
espocrm official features list,,40,1.00,,0.00,0.00,,
espocrm used in india,,40,1.00,,0.00,0.00,,
espocrm available in india,,30,1.00,,0.00,0.00,,
espocrm in india,,30,1.00,,0.00,0.00,,
espocrm sales pipeline visualization,,30,1.00,,0.00,0.00,,
espocrm whatsapp integration,,30,"0.11,0.11,0.00,1.00,0.00,0.00,0.11,0.11,0.11,0.00,0.00,0.11",,0.00,0.00,,
espocrm advanced pack,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.19,,
espocrm advanced pack download cracked,,20,"1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.20,,
espocrm advanced pack free or paid,,20,1.00,,0.00,0.00,,
espocrm alternative,,20,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00",,0.00,0.95,,
espocrm api,,20,"1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00",,0.00,0.03,,
espocrm api documentation,,20,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.04,,
espocrm app,,20,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.43,,
espocrm backup,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
espocrm default username password,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
espocrm demo,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,17.03,0.57,,
espocrm docker,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.04,,
espocrm documentation,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.10,,
espocrm download,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,10.48,0.56,,
espocrm extensions,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,6.79,0.33,,
espocrm extensions free,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.14,,
espocrm extensions github,,20,"0.00,0.00,0.00,0.00,0.00,0.22,0.44,1.00,0.00,0.22,0.22,0.22",,0.00,0.33,,
espocrm features,,20,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,1.00,0.27,0.00,0.09",,0.00,0.00,,
espocrm formula,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.03,,
espocrm forum,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.02,,
espocrm github,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,12.02,0.02,,
espocrm hosting,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,0.57,,
espocrm installation,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,13.32,0.33,,
espocrm license,,20,"0.00,0.20,0.20,0.40,1.00",,0.00,0.00,,
espocrm license and features,,20,1.00,,0.00,0.00,,
espocrm logo,,20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
espocrm mautic integration,,20,"0.14,1.00,0.28,0.14,0.00",,0.00,0.00,,
espocrm mobile app,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00",,0.00,0.33,,
espocrm n8n,,20,"0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
espocrm open source free no limitations,,20,1.00,,0.00,0.00,,
espocrm outlook,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
espocrm portal,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.07,,
espocrm pricing,,20,"0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,1.00,1.00",,17.81,0.66,,
espocrm project management,,20,"0.29,0.29,0.29,0.29,0.00,0.29,1.00,0.29,0.29,0.29,0.29,0.29",,0.00,0.33,,
espocrm real estate,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00",,0.00,0.00,,
espocrm reddit,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.05,,
espocrm release notes,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
espocrm reports,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00",,0.00,0.33,,
espocrm review,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,11.87,0.66,,
espocrm sales pack,,20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.43,,
espocrm sales pipeline,,20,1.00,,0.00,0.00,,
espocrm sms,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
espocrm sso,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00,1.00,0.50,1.00",,0.00,0.33,,
espocrm theme,,20,"0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00",,0.00,0.00,,
espocrm themes,,20,"0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00",,0.00,0.00,,
espocrm tutorial,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00",,0.00,0.00,,
espocrm upgrade,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00",,0.00,0.00,,
