Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
flarum,Navigational,880,"0.76,1.00,0.55,0.45,0.45,0.76,0.36,0.55,0.55,0.45,0.55,0.67",72,0.00,0.00,"Sitelinks, Video, Video carousel, Knowledge panel, Related searches",113
flarum hosting,"Navigational, Transactional",70,"0.17,0.17,0.44,0.27,0.37,0.63,0.63,1.00,0.63,0.63,0.63,0.63",10,0.00,0.51,"Sitelinks, Video, Video carousel, Related searches",156
doomsday debunked flarum,,50,1.00,,0.00,0.00,,
flarum forum,,30,"0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,1.00",,0.00,0.33,,
flarum review,,30,"0.18,0.18,0.18,0.18,0.18,0.18,0.00,1.00,0.18,0.18,0.18,0.18",,0.00,0.33,,
discourse vs flarum,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.09,,
docker flarum,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00",,0.00,0.00,,
flarum alternative,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
flarum api,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
flarum blog,,20,"1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
flarum categories,,20,"1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00",,0.00,0.33,,
flarum chat,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.14,,
flarum cloud,,20,"0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
flarum cloud hosting,,20,"0.09,0.27,1.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
flarum cloud hosting service,,20,"0.09,1.00,0.00,0.00,0.00,0.00",,0.00,0.00,,
flarum community,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
flarum demo,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.07,,
flarum docker,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
flarum docker compose,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
flarum download,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
flarum examples,,20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.05,,
flarum extensions,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
flarum forum examples,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
