Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
freescout,Navigational,480,"0.81,0.44,1.00,1.00,0.81,1.00,1.00,0.81,1.00,1.00,1.00,1.00",47,5.35,0.11,"Sitelinks, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches",92800
freescout docker compose,,50,"0.64,0.41,0.23,0.11,1.00,0.23,0.11,0.23,0.23,0.11,0.11,0.11",,0.00,0.33,,
freescout module,,50,"0.11,0.52,1.00,0.11,0.82,0.11,0.11,0.11,0.64,0.11,0.23,0.11",,11.79,0.33,,
freescout community modules,"Informational, Transactional",40,"1.00,0.00,0.21,0.44,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21",20,0.00,0.05,"Sitelinks, Video, Related searches",2910
freescout chatgpt,,30,"0.00,1.00,0.14,0.14,0.00,0.14,0.14,0.14,0.14,0.14,0.00,0.14",,0.00,0.00,,
freescout hosting,Navigational,30,"0.40,0.60,0.60,0.60,0.40,0.60,0.80,1.00,1.00,0.60,0.80,0.40",6,12.18,0.63,"Sitelinks, Video, Video carousel, Related searches, Ads bottom",8690
freescout ai,,20,"0.00,0.33,1.00,0.00,0.00,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0.00,0.66,,
freescout alternative,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,8.18,0.99,,
freescout alternatives,,20,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00",,0.00,1.00,,
freescout api,,20,"0.65,0.65,0.65,0.65,0.65,1.00,0.65,0.65,0.65,0.65,0.65,0.65",,0.00,0.33,,
freescout app,,20,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00",,0.00,0.33,,
freescout demo,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,18.95,0.68,,
freescout docker,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
freescout github,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.01,,
freescout help desk,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00",,0.00,0.50,,
freescout helpdesk,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,13.16,0.33,,
freescout install,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00",,0.00,0.05,,
freescout installation,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.05,,
freescout login,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
freescout modules,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.13,,
freescout modules free,,20,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00",,0.00,0.00,,
freescout reviews,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,13.87,0.66,,
freescout ticket system,,20,"1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,15.78,0.71,,
freescout vs osticket,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.40,,
freescout whatsapp,,20,"1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,0.14,,
github freescout,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
install freescout,,20,"0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
tiredofit/freescout,,20,"1.00,1.00,0.50,0.50,0.50,0.50,0.50,0.50,1.00,1.00,1.00,1.00",,0.00,0.33,,
freescout active pending,,10,1.00,,0.00,0.00,,
