Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
sitecore xm cloud,"Navigational, Transactional",320,"0.35,0.43,0.43,0.54,0.43,0.66,1.00,0.81,0.81,0.81,0.81,0.66",22,11.13,"Sitelinks, Video, Related searches, Ads top, Ads bottom"
sitecore xm,"Navigational, Transactional",140,"0.14,0.14,0.14,0.22,0.22,0.22,0.29,0.35,0.43,0.35,1.00,0.66",22,8.76,"Sitelinks, Video, Video carousel, Related searches, Ads bottom"
sitecore.thumbnailgenerator.config xm cloud,,50,1.00,,0.00,
disable thumbnail generation sitecore xm cloud,,40,1.00,,0.00,
sitecore xm cloud news,Informational,40,"1.00,0.22,0.22,0.00",14,0.00,"Video, Video carousel, Related searches"
sitecore xm cloud vercel,,40,"0.00,0.00,0.52,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,
sitecore xm vs xp,"Informational, Commercial",40,"0.22,0.22,0.33,0.33,0.22,0.22,0.55,0.22,1.00,1.00,1.00,0.33",5,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums"
sitecore xp vs xm,"Informational, Commercial",40,"0.21,0.21,0.21,0.44,0.21,0.21,0.44,0.21,0.79,0.56,1.00,0.56",5,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
xm cloud sitecore,Informational,40,"0.21,0.21,0.33,0.21,0.21,0.56,0.44,0.56,0.56,0.56,0.44,1.00",21,42.68,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
sitecore xm cloud architecture,,30,"0.40,0.40,0.40,0.40,0.40,0.80,0.80,1.00,0.80,0.80,0.80,0.60",,0.00,
sitecore xm cloud pricing,,30,"0.18,0.18,0.18,0.36,0.18,0.27,0.36,1.00,0.45,0.36,0.18,0.18",,8.38,
sitecore xm cloud rendering host per site best practice,,30,"0.40,1.00,0.20",,0.00,
what is sitecore xm,,30,"0.00,0.40,0.60,0.40,0.20,0.60,1.00,0.80,0.80,0.80,0.60,0.60",,0.00,
what is sitecore xm cloud,,30,"0.40,0.40,0.60,0.60,1.00,0.60,0.80,1.00,1.00,0.60,0.60,0.60",,0.00,
sitecore forms xm cloud,,20,"1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00",,0.00,
sitecore xm cloud architecture diagram,,20,"0.66,0.66,0.66,0.66,0.66,0.66,1.00,0.66,0.66,0.66,0.66,0.66",,0.00,
sitecore xm cloud benefits,,20,"0.00,0.50,0.25,1.00,1.00,0.75,0.75,0.50,1.00,0.50",,0.00,
sitecore xm cloud certification,,20,"1.00,0.67,0.67,1.00,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67",,6.01,
sitecore xm cloud certification dumps,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
sitecore xm cloud certification questions,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,
sitecore xm cloud developer,,20,"1.00,0.00,0.00,0.00,0.28,0.57,0.28,0.00,0.28,0.28,0.28,0.28",,0.00,
sitecore xm cloud developer certification exam,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
