Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
cms spinal cord stimulator,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
cms team spinal fusion payment model,,20,"0.25,0.25,0.25,0.50,0.25,0.75,1.00,0.75,0.75,0.25,0.50,0.00",,0.00,
spinal cms,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
cms team model spinal fusion,,10,"0.00,0.33,0.00,0.33,0.00,1.00,1.00,0.33,0.33,0.00,0.33,0.00",,0.00,
cms criteria for spinal fusion,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
cms lcd spinal cord stimulator,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
cms ndc spinal cord stimu stimulator trial,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
cms spinal fusion,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
cms technical assessment spinal fusion surgery in the medicare population,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
lumbar spinal stenosis by cms,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
lumbar spinal stenosis cms,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
yeung endoscopic spinal surgery yess cms,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
