Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
listmonk,Navigational,480,"0.44,0.44,0.54,0.44,0.66,0.81,0.66,0.66,1.00,0.54,1.00,0.66",34,6.96,"Sitelinks, Image, Video, Video carousel, Related searches, Ads bottom"
listmonk github,Navigational,50,"0.05,0.12,0.05,0.05,1.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05",52,0.00,"Sitelinks, Video, Video carousel, Related searches"
mautic vs listmonk,"Informational, Commercial",50,"0.28,0.14,0.14,0.28,1.00,0.78,0.78,0.14,0.14,0.14,0.14,0.14",0,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches"
github listmonk,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
listmonk alternative,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,9.51,
listmonk alternatives,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
listmonk amazon ses,,20,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
listmonk api,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
listmonk demo,,20,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
listmonk docker,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
listmonk docs,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
listmonk install,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
listmonk installation,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
listmonk login,,20,"1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
listmonk n8n,,20,"0.00,0.00,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
listmonk review,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
listmonk smtp,,20,"1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
listmonk templates,,20,"0.20,0.20,0.60,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.40,0.40",,0.00,
listmonk vs mautic,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
listmonk wordpress,,20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
n8n listmonk,,20,"0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
listmonk aws ses,,10,"1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00",,0.00,
listmonk click tracking,,10,"1.00,0.00",,0.00,
listmonk pricing,,10,"0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00",,0.00,
listmonk vs mailtrain,,10,"1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00",,0.00,
hosting listmonk,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
hébergement listmonk,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
is listmonk good,,0,"1.00,0.00,0.00,0.00,0.00,0.00",,0.00,
is listmonk good for email marketing,,0,"1.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
listmonk api documentation,,0,"0.00,0.00",,0.00,
listmonk hosting,,0,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00",,0.00,
listmonk integrated with ghost,,0,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
listmonk list unsubscribe header support,,0,0.00,,0.00,
listmonk list-unsubscribe header support,,0,"0.00,0.00,0.00,0.00",,0.00,
listmonk resubscribe,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
listmonk vs mailchimp,,0,"0.00,0.00,0.00",,0.00,
listmonk vs sendy,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
listmonk webhooks,,0,"0.00,0.00",,0.00,
open-source marketing automation tools mautic matomo n8n listmonk documentation,,0,"0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
