Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
open webui,"Informational, Navigational",9900,"1.00,0.81,0.81,0.66,0.44,0.44,0.54,0.44,0.44,0.36,0.44,0.66",33,6.91,0.01,"Sitelinks, Video, Video carousel, People also ask, Related searches",10900000
open-webui,Navigational,5400,"0.54,0.02,1.00,0.81,0.81,0.54,0.01,0.00,0.54,0.44,0.81,0.54",37,6.91,0.01,"Sitelinks, Video, Video carousel, Related searches",11200000
gpt-oss rag open webui,"Informational, Transactional",880,"1.00,0.00,0.00,0.00",47,0.00,0.00,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches",15300
open-webui docker,Informational,880,"0.22,0.43,0.04,0.04,0.03,0.00,0.00,1.00,0.05,0.43,0.03,0.00",27,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches",2960000
open webui:,Informational,720,"1.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",41,5.55,0.01,"Sitelinks, Image, Video, People also ask, Related searches",10700000
[error: no module named 'open_webui.apps'],Informational,590,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",22,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",691
open webui github,Navigational,590,"1.00,1.00,1.00,0.53,0.20,0.13,0.47,0.33,0.27,0.47,0.27,0.33",90,0.00,0.00,"Sitelinks, Video, Related searches",11600000
open-webui serve,"Informational, Commercial",590,"0.10,1.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",43,0.00,0.01,"Sitelinks, AI Overview, Video, Related searches",
open-webui github,Navigational,480,"0.16,0.00,0.00,0.00,0.00,0.00,0.65,1.00,0.13,0.00,0.08,0.13",80,0.00,0.00,"Video, People also ask, Related searches",3760000
open webui docker,"Informational, Commercial",390,"0.82,1.00,0.44,0.44,0.54,0.36,0.54,0.36,0.36,0.44,0.36,0.82",51,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",
pip install open-webui,Informational,320,"0.13,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01",37,0.00,0.00,"Featured snippet, Sitelinks, Video, Related searches",
gemini nano on open webui,Informational,260,"1.00,0.00,0.00",19,0.00,0.00,"Sitelinks, Video, Video carousel, People also ask, Related searches",99
open webui 500 internal error,Informational,260,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",19,0.00,0.00,"Sitelinks, Image, Video carousel, Related searches",
open webui ollama,Informational,260,"1.00,0.44,0.36,0.44,0.53,0.36,0.44,0.29,0.22,0.02,0.18,0.22",48,0.00,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",1220000
open-webui install,"Informational, Transactional",260,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",51,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",3760000
error: no matching distribution found for open-webui,"Informational, Commercial",210,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",16,0.00,0.00,"Sitelinks, AI Overview, Related searches, Questions and answers",19300
how to update open webui,Informational,210,"0.20,0.10,0.13,0.10,0.05,0.05,1.00,0.05,0.00,0.03,0.03,0.05",16,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",
