Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
sylius,Navigational,260,"0.75,0.75,1.00,0.50,0.75,0.75,0.50,0.75,0.75,0.75,0.75,0.50",58,8.82,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches"
sylius hosting,Navigational,50,"0.71,0.71,0.71,0.57,1.00,1.00,1.00,0.71,1.00,1.00,0.71,0.57",18,0.00,"Sitelinks, Video, Video carousel, Related searches"
agence sylius,"Navigational, Transactional",40,"0.57,1.00,1.00,1.00,1.00,0.28,0.14,0.14,0.14,0.42,0.57,0.71",10,0.00,"Video, Related searches"
sylius agency,,40,"0.22,0.44,0.44,1.00,0.33,0.33,0.33,0.22,0.33,0.22,0.22,0.55",,0.00,
sylius company,,30,"0.14,0.28,0.71,1.00,0.57,0.28,0.42,0.28,0.00,0.00,0.42,0.42",,0.00,
sylius development,,30,"0.11,0.22,0.55,1.00,0.33,0.22,0.22,0.11,0.00,0.00,0.33,0.33",,0.00,
sylius ecommerce,,30,"0.22,0.22,0.22,1.00,0.67,0.22,0.44,0.22,0.22,0.22,0.44,0.44",,0.00,
sylius integration,,30,"0.25,0.50,1.00,1.00,0.75,0.75,0.75,0.50,0.75,0.75,0.75,0.75",,0.00,
sylius agentur,,20,"0.33,0.33,1.00,0.67,1.00,0.67,0.33,0.33,0.33,0.67,0.67,1.00",,0.00,
sylius demo,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
sylius developer,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,0.00,0.00,0.50,0.50",,0.00,
sylius github,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
sylius marketplace,,20,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00",,0.00,
sylius meaning,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
sylius paypal,,20,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00",,0.00,
sylius php,,20,"0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
sylius plugin,,20,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
sylius plugins,,20,"1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
sylius plus,,20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00",,0.00,
sylius plus pricing,,20,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,
sylius pricing,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00",,0.00,
sylius requirements,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00",,0.00,
sylius symfony,,20,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00",,0.00,
sylius symfony e-commerce,,20,1.00,,0.00,
sylius theme,,20,"0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.00,0.64,0.64,1.00",,0.00,
sylius themes,,20,"0.40,0.40,0.40,1.00,0.40,0.40,0.60,0.40,0.40,0.00,0.00,0.20",,0.00,
sylius vs shopware vs woocommerce,,20,"0.33,0.66,0.33,0.33,0.33,0.33,0.33,0.66,1.00,1.00,0.66,0.33",,0.00,
symfony sylius,,20,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00",,0.00,
agence création sylius,,10,"0.50,0.50,0.50,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
agence sylius lyon,,10,"0.50,1.00,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
agence sylius paris,,10,"0.50,0.50,0.50,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
agence web sylius,,10,"0.33,0.66,0.66,1.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
best-sylius-cloud-hosting,,10,"0.00,0.50,0.50,0.50,1.00,1.00,1.00,1.00,0.50,0.50,1.00",,0.00,
budget sylius,,10,"0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50,0.00,1.00,1.00",,0.00,
demo sylius,,10,"1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",,0.00,
développement sylius paris,,10,"0.00,0.00,0.00,0.20,0.20,0.20,0.20,0.20,0.40,0.40,0.60,1.00",,0.00,
expert création sylius,,10,"0.00,0.00,0.00,0.20,0.20,0.20,0.40,0.20,0.20,0.40,0.40,1.00",,0.00,
