Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
typebot,Navigational,1000,"1.00,0.62,0.62,0.55,0.36,0.36,0.45,0.36,0.55,0.62,0.55,0.55",31,5.72,0.11,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom",268000
codigo para transformar typebot e whatsapp,"Informational, Transactional",390,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",15,0.00,0.00,"AI Overview, Video, People also ask, Related searches",6530
typebot pricing,Navigational,110,"0.09,0.14,0.52,0.66,0.66,0.42,1.00,1.00,1.00,0.33,0.66,0.80",2,0.00,0.11,"AI Overview, Video, Related searches",14000
typebot.io,Navigational,110,"0.02,1.00,0.03,0.07,0.07,0.10,0.15,0.00,0.04,0.04,0.07,0.07",35,9.18,0.35,"Sitelinks, Video, Video carousel, People also ask",210000
typebot github,"Navigational, Transactional",70,"0.06,0.12,0.06,0.15,0.12,0.12,0.34,1.00,0.06,0.06,0.12,0.21",43,0.00,0.01,"Sitelinks, Video, Related searches",
typebot mrr,,70,"0.23,0.00,0.11,1.00",,0.00,0.00,,
typebot mrr revenue,,70,1.00,,0.00,0.00,,
is typebot open source,,30,1.00,,0.00,0.00,,
typebot chatbot,,30,"0.00,0.64,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.00,0.14,0.14",,0.00,0.33,,
typebot login,,30,"0.28,0.28,0.28,0.28,0.42,0.42,0.28,0.42,0.42,0.70,1.00,0.42",,0.00,0.33,,
typebot revenue mrr,,30,1.00,,0.00,0.00,,
typebot whatsapp,,30,"0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,1.00",,4.74,0.66,,
github typebot,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
templates typebot,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00",,0.00,0.62,,
typebot ai,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
typebot alternative,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.50,1.00,1.00,0.00,1.00",,5.00,0.99,,
typebot api,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
typebot co,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00",,0.00,0.00,,
typebot com,,20,"1.00,0.57,0.28,0.00,0.28,0.28,0.28,0.00,0.28,0.28,0.28,0.00",,0.00,0.25,,
typebot com whatsapp,,20,"0.00,0.00,0.00,0.00,1.00,0.14,0.14,0.14,0.00,0.14,0.00,0.14",,0.00,0.00,,
typebot docker,,20,"0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
typebot docker compose,,20,"0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00",,0.00,0.33,,
typebot docs,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,0.33,,
typebot documentation,,20,"0.00,0.67,0.67,1.00,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67",,0.00,0.33,,
typebot download,,20,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00",,0.00,0.33,,
