Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
zammad,Navigational,1000,"0.45,0.76,1.00,0.76,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",47,4.81,0.08,"Sitelinks, Video, Video carousel, People also ask, Related searches",178000
alex zamm,"Informational, Transactional",390,"0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.31,1.00,0.17",28,0.00,0.00,"Image, Video, Knowledge panel, Related searches",
zamm,Navigational,390,"0.42,0.35,0.65,0.81,0.42,0.81,0.81,0.81,1.00,1.00,1.00,1.00",34,0.00,0.00,"Sitelinks, Image pack, Video, People also ask, Knowledge panel, Related searches",930000
zamma corporation,Navigational,260,"0.81,1.00,0.81,1.00,0.65,0.81,1.00,0.81,0.65,0.81,0.65,0.81",34,1.06,0.07,"Sitelinks, Video, Knowledge panel, Related searches",
zamma,Navigational,170,"0.34,0.41,0.66,0.34,0.79,0.79,0.66,0.41,1.00,0.79,0.79,1.00",23,1.37,0.33,"Sitelinks, Image pack, Video, People also ask, Knowledge panel, Related searches",522000
zamma cap a tread,"Informational, Commercial",170,"1.00,0.53,0.44,0.44,0.53,0.65,0.44,0.44,0.33,0.53,0.33,0.53",5,0.74,1.00,"Sitelinks, Image pack, Video, Video carousel, Related searches, Popular products",
zamm meme,Informational,140,"0.52,0.11,0.11,0.11,0.43,0.20,0.82,0.27,0.34,1.00,1.00,0.66",26,0.00,0.00,"Sitelinks, Image, Related searches",77600
zamma corp,Navigational,140,"1.00,0.52,1.00,1.00,0.65,0.82,0.52,0.52,1.00,0.52,0.40,0.65",26,1.06,0.07,"Sitelinks, Video, People also ask, Knowledge panel, Related searches",9220
zammad ticketing system,Navigational,140,"0.52,0.66,0.80,0.80,0.66,0.52,0.52,0.42,0.66,0.42,0.66,1.00",19,14.85,0.42,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches",20000
zammir,Informational,110,"0.46,1.00,1.00,0.62,0.62,0.38,0.62,0.77,1.00,0.23,0.46,0.38",37,0.00,0.00,"AI Overview, Image, Video, Knowledge panel, Top stories, Related searches",
